id_penerbit;nama_penerbit;tempat_penerbit
PE312;Uwais Inspirasi Indonesia ;Informasi tidak tersedia
PE312;Uwais Inspirasi Indonesia ;Informasi tidak tersedia
PE313;VisiMedia;Informasi tidak tersedia
PE314;WINEKA MEDIA;Informasi tidak tersedia
PE315;Yayasan Bina Lentera Insan;Informasi tidak tersedia
PE316;Yayasan Penerbit Muhammad Zaini;Informasi tidak tersedia
PE317;Yayasan Pustaka Obor Indonesia;Informasi tidak tersedia
PE317;Yayasan Pustaka Obor Indonesia;Informasi tidak tersedia
PE318;Zahir Publishing;Informasi tidak tersedia
PE318;Zahir Publishing;Informasi tidak tersedia
PE319;zakimu.com;Informasi tidak tersedia
PE320;Zifatama Jawara;Informasi tidak tersedia
PE320;Zifatama Jawara;Informasi tidak tersedia
PE320;Zifatama Jawara;Informasi tidak tersedia
PE320;Zifatama Jawara;Informasi tidak tersedia
PE320;Zifatama Jawara;Informasi tidak tersedia
