id_penerbit;nama_penerbit;tempat_penerbit
PE119;Penerbit Pustaka Rumah Cinta;Informasi tidak tersedia
PE120;Penerbit tidak tersedia;Informasi tidak tersedia
PE121;Penerbit Unika Atma Jaya Jakarta;Informasi tidak tersedia
PE122;Perkumpulan Rumah Cemerlang Indonesia;Informasi tidak tersedia
PE123;Pinang;Informasi tidak tersedia
PE124;Pradina Pustaka;Informasi tidak tersedia
PE125;Prasetiya Mulya Publishing ;Informasi tidak tersedia
PE126;Prenada Media;Informasi tidak tersedia
PE127;PT Balai Pustaka (Persero);Informasi tidak tersedia
PE128;PT Grafindo Media Pratama;Informasi tidak tersedia
PE129;PT Kanisius;Informasi tidak tersedia
PE130;PT Sahabat Alter Indonesia;Informasi tidak tersedia
PE131;PT. MAHONI GLOBAL;Informasi tidak tersedia
PE132;PT. RajaGrafindo Persada;Informasi tidak tersedia
PE133;PT. RajaGrafindo Persada - Rajawali Pers;Informasi tidak tersedia
PE134;PT. Sonpedia Publishing Indonesia;Informasi tidak tersedia
PE135;Publica Indonesia Utama;Informasi tidak tersedia
PE136;Pusat Penelitian Dan Penerbitan Lembaga Penelitian Dan Pengabdian Kepada Masyarakat;Informasi tidak tersedia
PE137;Pustaka Al-Kautsar;Informasi tidak tersedia
PE138;Pustaka Alvabet;Informasi tidak tersedia
PE139;Pustaka Hudaya;Informasi tidak tersedia
PE140;Random House;Informasi tidak tersedia
PE141;Routledge;Informasi tidak tersedia
PE142;Sada Kurnia Pustaka;Informasi tidak tersedia
PE143;Samudra Biru;Informasi tidak tersedia
PE144;Sanata Dharma University Press;Informasi tidak tersedia
PE145;SCOPINDO MEDIA PUSTAKA;Informasi tidak tersedia
PE146;Serambi Ilmu Semesta;Informasi tidak tersedia
PE147;Sinar Grafika;Informasi tidak tersedia
PE148;SPASI MEDIA;Informasi tidak tersedia
PE149;Spectrum;Informasi tidak tersedia
PE150;Springer;Informasi tidak tersedia
PE151;Springer Science & Business Media;Informasi tidak tersedia
PE152;Stefano Calicchio;Informasi tidak tersedia
PE153;Stiletto Book;Informasi tidak tersedia
PE154;Syiah Kuala University Press;Informasi tidak tersedia
PE155;TAZAKKA PRESS;Informasi tidak tersedia
PE156;Tempo Publishing;Informasi tidak tersedia
PE157;TOHAR MEDIA;Informasi tidak tersedia
PE158;UAD PRESS;Informasi tidak tersedia
PE159;UB Media;Informasi tidak tersedia
PE160;UGM PRESS;Informasi tidak tersedia
PE161;UMMPress;Informasi tidak tersedia
PE162;umsu press;Informasi tidak tersedia
PE163;Unhas Press;Informasi tidak tersedia
PE164;UNIDA GONTOR PRESS;Informasi tidak tersedia
PE165;Unisri Press;Informasi tidak tersedia
PE166;Universitas Brawijaya Press;Informasi tidak tersedia
PE167;Universitas Indonesia Publishing;Informasi tidak tersedia
PE168;UPI Press;Informasi tidak tersedia
PE169;UPT Percetakan dan Penerbitan Polinema;Informasi tidak tersedia
PE170;uwais inspirasi indonesia;Informasi tidak tersedia
PE171;Uwais Inspirasi Indonesia ;Informasi tidak tersedia
PE172;VisiMedia;Informasi tidak tersedia
PE173;WINEKA MEDIA;Informasi tidak tersedia
PE174;Yayasan Bina Lentera Insan;Informasi tidak tersedia
PE175;Yayasan Penerbit Muhammad Zaini;Informasi tidak tersedia
PE176;Yayasan Pustaka Obor Indonesia;Informasi tidak tersedia
PE177;Zahir Publishing;Informasi tidak tersedia
PE178;zakimu.com;Informasi tidak tersedia
PE179;Zifatama Jawara;Informasi tidak tersedia
